record_id,data_json
1,"{""customer_id"": ""CUST001"", ""phone"": ""9876543210"", ""order_value"": 1299}"
2,"{""name"": ""Rajesh Kumar"", ""email"": ""rajesh.kumar@email.com"", ""city"": ""Mumbai""}"
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}"
4,"{""aadhar"": ""123456789012"", ""transaction_type"": ""purchase""}"
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}"
6,"{""name"": ""Amit Singh"", ""address"": ""123 MG Road, Bangalore, 560001"", ""ip_address"": ""192.168.1.100""}"
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}"
8,"{""upi_id"": ""user123@paytm"", ""amount"": 500}"
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}"
10,"{""passport"": ""P1234567"", ""booking_reference"": ""BK123""}"
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}"
12,"{""name"": ""Sneha Patel"", ""email"": ""sneha.patel@gmail.com"", ""device_id"": ""MOB123456""}"
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}"
14,"{""phone"": ""8765432109"", ""order_date"": ""2024-01-15""}"
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}"
16,"{""name"": ""Vikram Reddy"", ""address"": ""456 Brigade Road, Bengaluru, 560025"", ""email"": ""vikram@company.com""}"
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}"
18,"{""aadhar"": ""987654321098"", ""verification_status"": ""verified""}"
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}"
20,"{""upi_id"": ""9123456780@ybl"", ""merchant"": ""Flipkart""}"
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}"
22,"{""name"": ""Deepika Agarwal"", ""phone"": ""7890123456"", ""email"": ""deepika@email.com""}"
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}"
24,"{""passport"": ""M9876543"", ""travel_date"": ""2024-03-15""}"
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}"
26,"{""name"": ""Ravi Gupta"", ""address"": ""789 Park Street, Kolkata, 700016"", ""ip_address"": ""10.0.0.50""}"
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}"
28,"{""phone"": ""6789012345"", ""sms_consent"": true}"
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}"
30,"{""aadhar"": ""456789123045"", ""kyc_status"": ""pending""}"
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}"
32,"{""name"": ""Meera Joshi"", ""email"": ""meera.j@workplace.com"", ""device_type"": ""Android""}"
